galaxy,n_points,RMS_frozen_four_km_s,RMS_Newtonian_km_s,negative_g_rel_points,Mtotal_proxy_Msun,RMS_train_groupkfold_km_s,improved_frozen_vs_newtonian,improved_groupkfold_vs_newtonian
UGCA281,7,1.0673479628273337,10.397576021322848,0,60009656.561053365,0.8963265030844076,True,True
D512-2,4,1.990671921515156,17.686144058692637,0,237811644.27993143,1.1125658269912944,True,True
F583-4,12,3.012871430452038,28.25603613945153,0,1556051280.5429552,2.1369709201766542,True,True
D564-8,6,2.048618000630532,11.653064328205572,0,56263941.70070985,2.239627334257123,True,True
DDO064,14,4.989108180458504,17.867003689441464,0,443164546.8052111,2.690459524354116,True,True
UGCA444,36,2.799569367962267,14.468638890219534,0,140385654.3150171,2.737879546526276,True,True
UGC07690,7,4.832884770694112,22.747054901726205,0,947571941.0543352,3.406867897412016,True,True
UGC07866,7,2.518884830251355,11.076678549661342,0,183023753.5777312,3.566215313599069,True,True
UGC04483,8,1.1104501609217483,8.382655992936533,0,50312352.03712703,3.593487989995448,True,True
UGC01281,25,6.488599102306907,21.944617571009523,2,678470944.4047889,3.9517133833707727,True,True
NGC3893,10,31.075250602186166,58.42413670841324,0,40295004116.57069,3.956372009362525,True,True
UGC07151,11,4.01915296534374,27.07834326492347,0,2487549239.5795307,3.9802393947199706,True,True
UGC04499,9,4.53668223246296,28.73174976832993,0,3023748446.7240653,4.129164536565016,True,True
F571-V1,7,4.471187534172657,39.79492942126242,0,3737053934.632439,4.566895826106401,True,True
NGC2976,27,6.408167383063877,14.260040448565771,3,1902132125.7594323,4.690388759399398,True,True
DDO154,12,5.309424377681869,23.71217692693497,0,363663533.531276,4.774909478120182,True,True
UGC05918,8,7.875764118118111,21.80954668833332,0,403095996.89368063,4.863964695030194,True,True
NGC0247,26,7.179755624188207,44.33874452179441,0,8104848177.943737,4.880203086763763,True,True
UGC07232,4,4.256273566241174,14.072864381408868,0,87381665.27548821,4.991138081984223,True,True
UGC05414,6,3.553733419253492,19.4770280367091,0,1084047750.1272986,4.992852972403763,True,True
UGC00891,5,4.931500755390268,28.40006307370213,0,993935162.9073846,5.2330332828894,True,True
KK98-251,15,4.28633366890662,9.24231819672141,0,276989582.5534596,5.512268694963212,True,True
DDO170,8,5.250392248485736,27.33402059077279,0,2128863855.4398956,5.533562539408173,True,True
NGC7793,46,9.61177941054905,26.40567432925076,4,5935319027.368628,5.601057610370748,True,True
UGC11820,10,7.790912209680227,30.782080603419725,0,5134442646.323685,5.747900788450351,True,True
UGC06917,11,5.884374198383301,46.43992237689648,0,7717137302.454597,5.920600551884718,True,True
NGC3917,17,11.420133918095267,50.96833813740423,1,17398549648.562748,5.929066439790249,True,True
UGC07524,31,8.007834273259538,34.27996285881312,0,4793586778.611969,6.135542126695587,True,True
UGC07261,7,6.347339776887895,33.05085052090242,0,2318779344.836325,6.251246914840342,True,True
NGC3972,10,7.439834754988687,44.45959494291804,0,10490188830.735825,6.290095893463561,True,True
UGC10310,7,8.222690384695962,31.25990953267383,0,2849087303.617142,6.343622421001258,True,True
UGC05829,11,7.286546869453421,24.56645984744779,0,2251375076.204804,6.345009353265795,True,True
DDO168,10,5.052736145758033,21.018874222272625,0,623708872.3084185,6.404306028106163,True,True
NGC4183,23,11.656145942329248,48.41085618248364,0,12184773122.19972,6.646385532024238,True,True
NGC2366,26,5.403354288092956,18.916966945876016,0,1091655335.9637842,6.653646064652892,True,True
IC2574,34,2.70483795944269,23.78354699928544,0,2439194507.790212,6.813737757318184,True,True
UGC12632,15,9.71514756145159,34.55295039419839,0,3330754724.697797,7.021645911835919,True,True
NGC4100,24,25.506601664567967,66.37776887597958,0,39397259909.87954,7.027544991555615,True,True
UGCA442,8,6.06409272990575,27.598673456837,0,575928065.8046787,7.075629063185407,True,True
UGC07323,10,7.194550636734337,23.515742110019804,0,3623085827.6504273,7.084622976461849,True,True
NGC6503,31,12.051933076547936,56.83404358118103,0,10053732336.18002,7.461884140637644,True,True
NGC5585,24,7.271817477590457,31.680943701137306,0,4238475879.755681,7.572306908763305,True,True
UGC07559,7,3.9859740113714617,9.818827026724064,0,229571245.0388406,7.604345888132915,True,True
UGC05716,12,10.076250503384944,38.595717422736016,0,2534131077.609157,7.651630261249009,True,True
UGC08550,11,9.900287287182044,29.603145461388134,0,756440127.3218925,7.6722198732042495,True,True
NGC5033,22,37.86952486039276,81.7961238031875,2,85439168696.27592,7.780746730727902,True,True
NGC4138,7,32.449406927019055,55.13347538266021,0,27038025287.671684,7.83309984253301,True,True
UGC00634,4,7.931679036228461,55.279530975262304,0,7183180238.833179,7.857169758340348,True,True
UGC06399,9,8.58199613169734,38.70738543926881,0,2726352011.551044,7.978449268799655,True,True
NGC0100,21,7.180838646686922,37.29693453757341,1,2846613540.390289,8.020858561616281,True,True
UGC05005,11,4.639078312024535,39.715777861931855,0,12345573779.9675,8.209695663113107,True,True
UGC06930,10,11.04983455054445,45.99712838722294,0,11645721959.771303,8.30353490802935,True,True
UGC00191,9,9.8531501931332,31.92467620407112,0,3822042218.0422287,8.36593721158382,True,True
NGC3198,43,14.832392132762704,56.099243597328886,3,42994002962.86135,8.700746003674915,True,True
UGC07577,9,7.304694436353522,2.31003901056483,0,60364577.84515369,8.816226600034286,False,False
UGC07603,12,10.775424839363502,31.453943634197763,0,490550757.630362,8.898192065157344,True,True
UGC05999,5,7.51379835510467,44.29698318989037,0,10429242660.27422,8.925107849168114,True,True
UGC04278,25,14.458594294292531,34.956933089362124,0,3222544150.4239807,8.963124515294439,True,True
NGC3741,21,11.224183302656686,25.903475084314856,0,303581753.6288832,9.076057647190156,True,True
UGC05750,11,6.382608423405557,27.51007053890247,0,9131469721.524052,9.171090917260118,True,True
ESO079-G014,15,10.996323243731691,55.74658403541774,0,36263092180.14329,9.1848206529203,True,True
UGC06923,6,9.681822423495737,25.934444999377245,0,2754184657.665472,9.31120486034184,True,True
UGC07089,12,10.328404375511822,25.46387869206129,0,3688963172.9099193,9.350874349352738,True,True
NGC4068,6,6.134875141663343,9.428676806463027,1,352148676.5591469,9.387393334317531,True,True
UGC02023,5,8.99236004697285,15.027147630460606,0,920561889.6931112,9.51886810993194,True,True
F568-3,18,11.811848339687709,44.56354544414182,0,11371116226.798515,9.57996642810082,True,True
UGC12732,16,12.411732528863965,44.61563268607259,0,7672577508.015745,9.80192576749345,True,True
NGC2403,73,9.000938507085518,50.70104801512085,0,12840764743.856531,10.060806474834454,True,True
D631-7,16,9.472060037820093,26.330096093973044,1,559669543.3059514,10.12993194794962,True,True
UGC08837,8,7.901913611997704,12.24030919392676,1,839607969.0112092,10.508403744484626,True,True
NGC6015,44,13.773413545065086,65.50085592854408,0,29836835059.09215,10.9069533711108,True,True
NGC1003,36,15.101824792894025,57.05520264141121,0,13311833395.258217,11.107983983357888,True,True
NGC4010,12,17.984449858563046,36.86370394291005,0,12677064490.30554,11.203645696426356,True,True
UGC06818,8,10.716539664858969,27.07042994637209,0,1689466941.414724,11.376458250367266,True,True
UGC06983,17,11.209038311047571,54.54130717033093,0,8774596955.528017,11.470640017666378,True,True
NGC0055,21,13.464763156653632,30.10483924708385,0,7161747944.03975,11.628980009716834,True,True
NGC3109,25,13.079468744958543,32.07944925871144,0,684425606.4414277,11.673064072291789,True,True
NGC0300,25,9.837267424238403,46.47895971603302,0,3248735854.6214643,11.713174196797254,True,True
NGC2683,11,36.29489384214124,63.994598885048255,0,51293950025.18072,12.078770131338532,True,True
UGC09992,5,9.743734260108411,11.212288562531272,0,498451162.0796529,12.449110127540123,True,False
ESO116-G012,15,8.835560878686799,46.78208640396458,0,5207601739.399338,12.452261400512487,True,True
UGC06446,17,15.345082042529684,43.361690679924365,0,3155645129.0540843,12.46869802171988,True,True
NGC3769,12,24.391133899392184,50.35656246265608,1,18052881584.129868,12.526576063551074,True,True
NGC3521,41,43.23811642123226,35.10281543370746,0,53123384684.520256,12.645039961410207,False,True
UGC05764,10,14.707343702445266,29.626853146959423,0,376839154.2720029,12.667304157670005,True,True
DDO161,31,11.02437709243489,23.32302911064788,0,2926378767.7491508,13.294028418395992,True,True
CamB,9,10.487126459661775,3.3556068721726025,6,66133643.46150003,13.43015539109817,False,False
UGC07608,8,16.110637878457535,33.45240342275178,0,793499049.2709684,13.435924202853451,True,True
NGC3992,9,32.673362372254005,105.26043069104036,0,154839901196.95602,13.621089447287495,True,True
F574-1,14,15.043129780557578,48.52533758837649,0,6330067932.135293,13.79630278236451,True,True
UGC00128,22,15.466868265785866,74.49268163919993,0,23430228046.971462,13.864402543079493,True,True
F565-V2,7,16.945940832473173,41.08791342698135,0,1860751571.1791227,14.0704837832966,True,True
F567-2,5,10.342086936215573,18.93445645439774,0,2525782925.8226748,14.106251879612724,True,True
UGC08699,41,24.31664184997716,57.25812439420853,4,37163017425.24258,14.131576479288023,True,True
