galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
UGCA281,7,1.0673479628273335,10.397576021322847,1.1901345600471431,1.0329355288737951,0,60009656.561053365
UGC04483,8,1.1104501609217485,8.382655992936533,1.061053240447846,1.1142307995958196,0,50312352.037127025
D512-2,4,1.9906719215151558,17.686144058692637,1.5217958840232066,1.4063729352558965,0,237811644.27993146
D564-8,6,2.048618000630532,11.653064328205572,1.5600863730837038,1.5494531965247136,0,56263941.70070985
UGC07866,7,2.518884830251355,11.076678549661342,1.1355483514139648,1.2128211045175956,0,183023753.57773122
IC2574,34,2.70483795944269,23.78354699928544,1.3411107296289015,1.4134577494896008,0,2439194507.790212
UGCA444,36,2.799569367962267,14.468638890219534,1.591926110868568,1.2934027033746143,0,140385654.3150171
F583-4,12,3.012871430452038,28.256036139451535,1.4821928143453513,1.3009093869585755,0,1556051280.5429552
UGC05414,6,3.553733419253492,19.4770280367091,0.9864088016928348,1.1334858823047436,0,1084047750.1272986
UGC07559,7,3.9859740113714617,9.818827026724065,0.8738116293574685,1.205050193419548,0,229571245.0388406
UGC07151,11,4.01915296534374,27.07834326492347,1.046623089072572,1.0780227904646171,0,2487549239.5795307
UGC07232,4,4.256273566241174,14.072864381408868,0.9591110119040575,0.8794641602557521,0,87381665.27548821
KK98-251,15,4.28633366890662,9.24231819672141,0.9275136804566861,1.2329328244406559,0,276989582.5534596
F571-V1,7,4.471187534172657,39.794929421262424,1.5277822768748588,1.4372115194636066,0,3737053934.6324387
UGC04499,9,4.53668223246296,28.73174976832993,1.1321343096276026,1.235675311880858,0,3023748446.7240653
UGC05005,11,4.639078312024535,39.715777861931855,1.2582820516929751,1.4166873574598868,0,12345573779.967499
UGC07690,7,4.832884770694112,22.747054901726205,1.0045292128536114,1.1170866749115873,0,947571941.0543352
UGC00891,5,4.931500755390268,28.400063073702132,1.4348663270450868,1.4214162321881907,0,993935162.9073846
DDO064,14,4.989108180458504,17.867003689441464,1.5377059346977526,1.132167989940043,0,443164546.80521107
DDO168,10,5.052736145758033,21.018874222272622,1.0567316988095805,1.1994793774148444,0,623708872.3084185
DDO170,8,5.250392248485736,27.33402059077279,1.406197521617898,1.5045125817389915,0,2128863855.4398954
DDO154,12,5.309424377681869,23.71217692693497,1.654590997164293,1.4584444083222639,0,363663533.531276
NGC2366,26,5.403354288092956,18.916966945876016,1.0335768484227796,1.2518750384869126,0,1091655335.9637842
UGC06917,11,5.884374198383301,46.43992237689648,1.285416304712754,1.1939792528401936,0,7717137302.454597
UGCA442,8,6.06409272990575,27.598673456837002,1.6730157484484818,1.4071290257912916,0,575928065.8046787
NGC4068,6,6.134875141663343,9.428676806463027,0.5188092901402622,1.0861888658092815,1,352148676.5591469
UGC07261,7,6.347339776887895,33.05085052090242,1.3522695859996483,1.1867059768604744,0,2318779344.836325
UGC05750,11,6.382608423405557,27.51007053890247,1.1618186027289703,1.3508927411828326,0,9131469721.524052
NGC2976,27,6.408167383063877,14.260040448565771,0.4654759891611779,0.7015093168099699,3,1902132125.7594323
UGC01281,25,6.488599102306907,21.944617571009523,1.2831575944955653,1.231974757955868,2,678470944.4047889
NGC0247,26,7.179755624188207,44.33874452179441,1.435113977822217,1.3074766368941395,0,8104848177.943737
