galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
UGCA281,7,0.8963265030844076,10.397576021322847,1.1901345600471431,1.1223694730114298,0,60009656.561053365
D512-2,4,1.1125658269912944,17.686144058692637,1.5217958840232066,1.515267163410992,0,237811644.27993146
F583-4,12,2.1369709201766542,28.256036139451535,1.4821928143453513,1.4069317310485834,0,1556051280.5429552
D564-8,6,2.239627334257123,11.653064328205572,1.5600863730837038,1.7319245519186541,0,56263941.70070985
DDO064,14,2.690459524354116,17.867003689441464,1.5377059346977526,1.4347418096713405,0,443164546.80521107
UGCA444,36,2.737879546526276,14.468638890219534,1.591926110868568,1.4083212681796526,0,140385654.3150171
UGC07690,7,3.406867897412016,22.747054901726205,1.0045292128536114,1.011700276553084,0,947571941.0543352
UGC07866,7,3.5662153135990695,11.076678549661342,1.1355483514139648,1.3551426240199145,0,183023753.57773122
UGC04483,8,3.593487989995448,8.382655992936533,1.061053240447846,1.4205421524134485,0,50312352.037127025
UGC01281,25,3.9517133833707727,21.944617571009523,1.2831575944955653,1.5061449527516422,2,678470944.4047889
NGC3893,10,3.9563720093625254,58.424136708413236,0.7309022975300252,0.752850182781844,0,40295004116.57069
UGC07151,11,3.9802393947199706,27.07834326492347,1.046623089072572,1.0750686727354593,0,2487549239.5795307
UGC04499,9,4.129164536565016,28.73174976832993,1.1321343096276026,1.2338395310024564,0,3023748446.7240653
F571-V1,7,4.566895826106401,39.794929421262424,1.5277822768748588,1.465937838390628,0,3737053934.6324387
NGC2976,27,4.690388759399398,14.260040448565771,0.4654759891611779,0.7191779841602991,3,1902132125.7594323
DDO154,12,4.774909478120182,23.71217692693497,1.654590997164293,1.5466022819684258,0,363663533.531276
UGC05918,8,4.863964695030194,21.809546688333317,1.9196164262006639,1.6379340706718204,0,403095996.89368063
NGC0247,26,4.880203086763763,44.33874452179441,1.435113977822217,1.3484032612616859,0,8104848177.943737
UGC07232,4,4.991138081984223,14.072864381408868,0.9591110119040575,0.8904297302995625,0,87381665.27548821
UGC05414,6,4.992852972403763,19.4770280367091,0.9864088016928348,1.220100686410373,0,1084047750.1272986
UGC00891,5,5.2330332828894,28.400063073702132,1.4348663270450868,1.5689431945519139,0,993935162.9073846
KK98-251,15,5.512268694963212,9.24231819672141,0.9275136804566861,1.4253843607880312,0,276989582.5534596
DDO170,8,5.533562539408173,27.33402059077279,1.406197521617898,1.5847486942496414,0,2128863855.4398954
NGC7793,46,5.601057610370748,26.40567432925076,0.5930941594461494,0.6769211903794258,4,5935319027.368628
UGC11820,10,5.747900788450351,30.782080603419725,1.583748474116518,1.4049234607239451,0,5134442646.323685
UGC06917,11,5.920600551884718,46.43992237689648,1.285416304712754,1.1922601354835498,0,7717137302.454597
NGC3917,17,5.929066439790249,50.96833813740423,1.0245491566738254,1.084223918017238,1,17398549648.562748
UGC07524,31,6.135542126695587,34.27996285881312,1.4800995168499358,1.3843805711577077,0,4793586778.611969
UGC07261,7,6.251246914840342,33.05085052090242,1.3522695859996483,1.165674623636656,0,2318779344.836325
NGC3972,10,6.290095893463561,44.45959494291804,0.9704723985464746,0.9449673421865812,0,10490188830.735823
UGC10310,7,6.343622421001258,31.25990953267383,1.3734981501611803,1.3368843439628464,0,2849087303.617142
UGC05829,11,6.345009353265795,24.56645984744779,1.5799234006833827,1.5331578142838516,0,2251375076.204804
DDO168,10,6.404306028106163,21.018874222272622,1.0567316988095805,1.3331861740581685,0,623708872.3084185
NGC4183,23,6.646385532024238,48.41085618248364,1.2561035041872959,1.265470067569517,0,12184773122.19972
NGC2366,26,6.653646064652892,18.916966945876016,1.0335768484227796,1.3700407731355766,0,1091655335.9637842
IC2574,34,6.813737757318184,23.78354699928544,1.3411107296289015,1.6659190723764883,0,2439194507.790212
UGC12632,15,7.021645911835919,34.55295039419839,1.673660479342607,1.5219238838529066,0,3330754724.697797
NGC4100,24,7.027544991555615,66.37776887597958,0.9481879744683606,0.9584239571126397,0,39397259909.87954
UGCA442,8,7.075629063185407,27.598673456837002,1.6730157484484818,1.47073341107733,0,575928065.8046787
UGC07323,10,7.084622976461849,23.515742110019804,0.8668333504544634,1.0993845942310407,0,3623085827.6504273
NGC6503,31,7.461884140637644,56.83404358118103,1.3388042983584498,1.2654748922581978,0,10053732336.18002
NGC5585,24,7.572306908763305,31.680943701137302,0.9127246381421075,1.0657317138243656,0,4238475879.7556806
UGC07559,7,7.604345888132915,9.818827026724065,0.8738116293574685,1.4708770176914483,0,229571245.0388406
UGC05716,12,7.651630261249009,38.595717422736016,1.7911025381249346,1.5327991126165923,0,2534131077.609157
UGC08550,11,7.6722198732042495,29.603145461388138,1.7181834144711987,1.4022742803170813,0,756440127.3218925
NGC5033,22,7.780746730727902,81.7961238031875,0.9061220218271654,0.9164563043777115,2,85439168696.27592
NGC4138,7,7.83309984253301,55.13347538266021,0.8106476105788081,0.859333256652264,0,27038025287.671684
UGC00634,4,7.857169758340348,55.279530975262304,1.6289773090373745,1.4940824986746528,0,7183180238.833179
UGC06399,9,7.978449268799655,38.70738543926881,1.4829181175305264,1.2999853928277656,0,2726352011.551044
NGC0100,21,8.020858561616281,37.29693453757341,1.2190941960636235,1.2625988965027126,1,2846613540.390289
UGC05005,11,8.209695663113107,39.715777861931855,1.2582820516929751,1.5493693265115163,0,12345573779.967499
UGC06930,10,8.30353490802935,45.99712838722294,1.222408850703791,1.278684485625064,0,11645721959.771303
UGC00191,9,8.36593721158382,31.92467620407112,1.4070707223434715,1.183842926531725,0,3822042218.0422287
NGC3198,43,8.700746003674915,56.099243597328886,0.8926345992502516,1.0462335244076428,3,42994002962.86135
UGC07577,9,8.816226600034286,2.31003901056483,0.3154004588925262,1.5152405161324138,0,60364577.84515369
UGC07603,12,8.898192065157344,31.453943634197763,1.5558236683583129,1.3246233077911038,0,490550757.63036203
UGC05999,5,8.925107849168114,44.29698318989037,1.3736719057639277,1.4524859857470922,0,10429242660.274221
UGC04278,25,8.963124515294439,34.956933089362124,1.517863148490793,1.3753032551604776,0,3222544150.4239807
NGC3741,21,9.076057647190156,25.903475084314856,2.0655558909830103,1.6486290919353253,0,303581753.6288832
UGC05750,11,9.171090917260118,27.51007053890247,1.1618186027289703,1.608147025511492,0,9131469721.524052
ESO079-G014,15,9.1848206529203,55.74658403541774,0.990589729784346,0.9929514492568237,0,36263092180.14329
UGC06923,6,9.31120486034184,25.934444999377245,0.7891833120827053,1.0527107081897942,0,2754184657.6654716
UGC07089,12,9.350874349352738,25.463878692061286,0.9570264339298418,1.2611395074085918,0,3688963172.9099193
NGC4068,6,9.387393334317531,9.428676806463027,0.5188092901402622,1.3360844886991792,1,352148676.5591469
UGC02023,5,9.518868109931939,15.027147630460606,0.6825090421692743,1.1900792834743694,0,920561889.6931113
F568-3,18,9.579966428100821,44.56354544414182,1.450701067282668,1.3859947987793626,0,11371116226.798517
UGC12732,16,9.80192576749345,44.61563268607259,1.7355466779075321,1.4823854596954544,0,7672577508.015745
NGC2403,73,10.060806474834454,50.70104801512085,1.04235725714862,0.9366258095576938,0,12840764743.856531
D631-7,16,10.12993194794962,26.330096093973044,1.2651489500421302,1.440294812641294,1,559669543.3059514
UGC08837,8,10.508403744484626,12.24030919392676,0.6196827614311089,1.369386274045505,1,839607969.0112092
NGC6015,44,10.9069533711108,65.50085592854408,1.1274886850377521,1.0312784976902838,0,29836835059.09215
NGC1003,36,11.107983983357888,57.05520264141121,1.558422115324003,1.5058020671754324,0,13311833395.258215
NGC4010,12,11.203645696426355,36.86370394291005,0.7665907618523331,0.9396366377406413,0,12677064490.30554
UGC06818,8,11.376458250367266,27.07042994637209,0.9672967801081638,1.3072986082459468,0,1689466941.414724
